item,itemLabel,itemDescription,mwcode
http://www.wikidata.org/entity/Q1151,Hector Berlioz,French composer and conductor (1803–1869),M00000236066
http://www.wikidata.org/entity/Q1511,Richard Wagner,German composer (1813–1883),M00000239875
http://www.wikidata.org/entity/Q3036,Mack Wilberg,American conductor,M00000305295
http://www.wikidata.org/entity/Q3260,Hubert Clifford,Australian-born British composer and conductor (1904-1959),M00000236731
http://www.wikidata.org/entity/Q4700,Claude Debussy,French classical composer (1862–1918),M00000236949
http://www.wikidata.org/entity/Q4761,Ernst Mielck,Finnish composer (1877-1899),M00000266907
http://www.wikidata.org/entity/Q4762,Roy Budd,British jazz musician and composer (1947-1993),M00000067902
http://www.wikidata.org/entity/Q5170,Blondel de Nesle,French trouvère,M00000283941
http://www.wikidata.org/entity/Q5351,Guillaume IX,Duke of Aquitaine and Gascony and Count of Poitou,M00000276556
http://www.wikidata.org/entity/Q5383,David Bowie,English musician and actor (1947–2016),M00000267529
http://www.wikidata.org/entity/Q5659,Conon de Béthune,"crusader and ""trouvère"" poet, born in 1150 in north of France",M00000264060
http://www.wikidata.org/entity/Q5921,Chuck Berry,American musician,M00000276087
http://www.wikidata.org/entity/Q7346,John Coltrane,American jazz saxophonist (1926–1967),M00000273754
http://www.wikidata.org/entity/Q9554,Martin Luther,"German priest, theologian and author (1483–1546)",M00000275604
http://www.wikidata.org/entity/Q14042,Willy Moon,New Zealand musician,M00000395042
http://www.wikidata.org/entity/Q14045,Moby,"American musician, singer, songwriter, producer, author, and animal rights activist",M00000044091
http://www.wikidata.org/entity/Q14277,William Herschel,"German-born British astronomer, technical expert, and composer",M00000275897
http://www.wikidata.org/entity/Q17892,Sappho,Ancient Greek poet from Lesbos (c. 630-c. 570 BC),M00000187516
http://www.wikidata.org/entity/Q18920,Steve Jablonsky,American composer,M00000291925
http://www.wikidata.org/entity/Q24917,Joop Stokkermans,Dutch composer and pianist,M00000253008
http://www.wikidata.org/entity/Q25147,Franco Battiato,Italian singer-songwriter and musician (1945-2021),M00000052479
http://www.wikidata.org/entity/Q26876,Taylor Swift,American singer-songwriter (born 1989),M00000299464
http://www.wikidata.org/entity/Q26931,Evaristo Felice Dall'Abaco,Italian composer and violinist,M00000236878
http://www.wikidata.org/entity/Q29300,Girolamo Parabosco,"Italian writer, composer, organist, and poet of the Renaissance",M00000271975
http://www.wikidata.org/entity/Q29544,Delia Derbyshire,English musician and composer of electronic music (1937–2001),M00000364604
http://www.wikidata.org/entity/Q30449,Avril Lavigne,Canadian singer-songwriter (born 1984),M00000162960
http://www.wikidata.org/entity/Q31959,Pat Martino,American jazz guitarist and composer,M00000088697
http://www.wikidata.org/entity/Q34624,Giovanni Gabrieli,Italian composer,M00000237441
http://www.wikidata.org/entity/Q37355,John Michael Talbot,American Roman Catholic singer-songwriter,M00000251326
http://www.wikidata.org/entity/Q38257,Enya,Irish singer,M00000068633
http://www.wikidata.org/entity/Q44927,Joseph Lanner,Austrian dance music composer,M00000238250
http://www.wikidata.org/entity/Q45105,Oswald von Wolkenstein,"German poet, composer, and diplomat",M00000240088
http://www.wikidata.org/entity/Q45562,Gustav Pick,Austrian musician and composer (1832-1921),M00000448869
http://www.wikidata.org/entity/Q45610,Acker Bilk,English recording artist; clarinetist and vocalist (1929-2014),M00000046432
http://www.wikidata.org/entity/Q46087,Anouk,Dutch singer,M00000081627
http://www.wikidata.org/entity/Q47122,Enrique Iglesias,Spanish singer,M00000065563
http://www.wikidata.org/entity/Q48996,Randy Brecker,American flugelhorn and trumpet player  (1945-),M00000261183
http://www.wikidata.org/entity/Q49388,Georg Friedrich Haas,Austrian composer,M00000275590
http://www.wikidata.org/entity/Q50185,Louis Couperin,French Baroque composer,M00000236822
http://www.wikidata.org/entity/Q50186,François Couperin,"French Baroque composer, organist and harpsichordist",M00000236820
http://www.wikidata.org/entity/Q50825,Stan Ridgway,American singer-songwriter and film and television composer,M00000044340
http://www.wikidata.org/entity/Q51584,Gustav Leonhardt,"Dutch keyboard player, conductor, musicologist, teacher and editor",M00000241582
http://www.wikidata.org/entity/Q56783,Henry Krtschil,composer (1932-2020),M00000241565
http://www.wikidata.org/entity/Q57704,Élisabeth Jacquet de La Guerre,French musician,M00000237893
http://www.wikidata.org/entity/Q58008,Ludwig Senfl,German-Swiss composer,M00000239423
http://www.wikidata.org/entity/Q60268,Lou Bega,German singer,M00000105533
http://www.wikidata.org/entity/Q61251,Christian Friedrich Daniel Schubart,German poet (1739-1791),M00000347254
http://www.wikidata.org/entity/Q61582,Johannes Eccard,German composer and conductor,M00000237200
http://www.wikidata.org/entity/Q61649,Maria Antonia Walpurgis of Bavaria,"German composer, opera singer and librettist (1724-1780)",M00000272063
http://www.wikidata.org/entity/Q61693,Karl Straube,"German church musician, organist, and choral conductor (1873-1950)",M00000254329
http://www.wikidata.org/entity/Q61977,Gershon Kingsley,American composer and musician,M00000286610
http://www.wikidata.org/entity/Q62702,Heinrich Frauenlob,German poet and minnesinger,M00000267568
http://www.wikidata.org/entity/Q64789,Hans Zender,German conductor and composer,M00000240030
http://www.wikidata.org/entity/Q65783,Georg Neumark,German poet and composer of hymns (1621-1681),M00000311880
http://www.wikidata.org/entity/Q66400,Kuno von Moltke,German general (1847–1923),M00000104824
http://www.wikidata.org/entity/Q67481,Friedrich Dülon,German flautist (1769-1826),M00000352027
http://www.wikidata.org/entity/Q67573,Heinz Tiessen,German composer (1887-1971),M00000269485
http://www.wikidata.org/entity/Q68038,Jean Gilbert,German composer and conductor,M00000285412
http://www.wikidata.org/entity/Q68171,Elias Ammerbach,German organist and transcriber,M00000000124
http://www.wikidata.org/entity/Q68254,Anton Bernhard Fürstenau,German flautist and composer (1792-1852),M00000237424
http://www.wikidata.org/entity/Q69400,Johann Vierdanck,German composer and musician,M00000263839
http://www.wikidata.org/entity/Q70011,Edith Picht-Axenfeld,German pianist and harpsichordist,M00000261228
http://www.wikidata.org/entity/Q70566,Hermann Baumann,German horn player,M00000235934
http://www.wikidata.org/entity/Q71496,Sebastian Knüpfer,German composer,M00000268064
http://www.wikidata.org/entity/Q72543,Charles Koechlin,"French composer, teacher and writer on music (1867-1950)",M00000238102
http://www.wikidata.org/entity/Q91791,Martin Böttcher,German composer (1927-2019),M00000065897
http://www.wikidata.org/entity/Q93227,Nikolai Rimsky-Korsakov,Russian composer,M00000239158
http://www.wikidata.org/entity/Q95638,Georg Rhau,German composer,M00000283866
http://www.wikidata.org/entity/Q96065,Gottfried Huppertz,German composer,M00000465613
http://www.wikidata.org/entity/Q96175,Kurt Schröder,composer,M00000251708
http://www.wikidata.org/entity/Q96244,Peter Thomas,"German film score composer, conductor and arranger",M00000269834
http://www.wikidata.org/entity/Q96862,Andreas Hakenberger,German composer,M00000272009
http://www.wikidata.org/entity/Q96997,Ernst Hermann Meyer,German musicologist (1905-1988),M00000257923
http://www.wikidata.org/entity/Q97273,Felix Kubin,German musician,M00000061947
http://www.wikidata.org/entity/Q97489,Clytus Gottwald,German composer and musicologist (1925–2023),M00000253042
http://www.wikidata.org/entity/Q98513,Johannes Kuhlo,German musician (1856-1941),M00000450315
http://www.wikidata.org/entity/Q98534,Tanith,DJ and producer of electronic dance music,M00000078453
http://www.wikidata.org/entity/Q98799,Emilie Zumsteeg,"German composer, music teacher, choir conductor, singer and pianist",M00000489637
http://www.wikidata.org/entity/Q100299,Ursula Herking,German film actress,M00000144559
http://www.wikidata.org/entity/Q100464,Ronny,"German singer, songwriter, record producer",M00000083806
http://www.wikidata.org/entity/Q104110,Remo Park,German composer and guitarist (1955-2016),M00000375275
http://www.wikidata.org/entity/Q104961,Tim Toupet,German musician and composer,M00000191029
http://www.wikidata.org/entity/Q107008,Count Basie,American jazz musician and composer (1904–1984),M00000081175
http://www.wikidata.org/entity/Q107933,Jim Belushi,American actor,M00000106628
http://www.wikidata.org/entity/Q108062,Francesco Cavalli,Italian composer (1602–1676),M00000236627
http://www.wikidata.org/entity/Q109390,Michael Obst,German composer and pianist,M00000238811
http://www.wikidata.org/entity/Q110477,Cannonball Adderley,American jazz saxophonist (1928–1975),M00000087966
http://www.wikidata.org/entity/Q123603,Ernest Ansermet,Swiss conductor (1883–1969),M00000000159
http://www.wikidata.org/entity/Q73306,Ferdinand Küchler,German musician,M00000469622
http://www.wikidata.org/entity/Q75331,Leo Krämer,"German composer, conductor and musicologist",M00000249837
http://www.wikidata.org/entity/Q75450,Frode Kjekstad,jazz guitarist,M00000195255
http://www.wikidata.org/entity/Q76490,Helge Schneider,German entertainer,M00000174795
http://www.wikidata.org/entity/Q77395,Hans Buchner,German Renaissance composer,M00000236450
http://www.wikidata.org/entity/Q77660,Mike Mareen,German musician,M00000094209
http://www.wikidata.org/entity/Q78530,Viktor Ullmann,Austrian composer,M00000239755
http://www.wikidata.org/entity/Q78606,Robert Fuchs,Austrian composer and music teacher,M00000237421
http://www.wikidata.org/entity/Q78704,Hanns Eisler,Austrian composer (1898–1962),M00000237225
http://www.wikidata.org/entity/Q78918,Clemens Krauss,Austrian conductor,M00000248386
http://www.wikidata.org/entity/Q80285,Ann Hampton Callaway,American singer,M00000092546
http://www.wikidata.org/entity/Q83326,Béla Bartók,Hungarian composer and pianist,M00000235907
